tweet_id,retweet_count,favorite_count
843235543001513987,6425,22382
842846295480000512,3823,15843
842765311967449089,1355,7020
842535590457499648,3728,18849
842163532590374912,6177,25498
842115215311396866,3227,14584
841833993020538882,16322,0
841680585030541313,8253,26729
841439858740625411,3916,13161
841320156043304961,5797,20620
841314665196081154,5001,16515
841077006473256960,5660,23857
840761248237133825,1870,0
840728873075638272,17244,0
840698636975636481,2,186
840696689258311684,1043,12832
840632337062862849,1870,9361
840370681858686976,4852,17188
840268004936019968,6121,20120
839990271299457024,2451,14026
839549326359670784,8315,28766
839290600511926273,154,0
839239871831150596,6989,28448
838952994649550848,4248,20509
838921590096166913,2220,11681
838916489579200512,36,0
838831947270979586,11804,0
838561493054533637,1415,11421
838476387338051585,5145,23638
838201503651401729,10788,0
838150277551247360,354,1757
838085839343206401,0,147
838083903487373313,3376,18448
837820167694528512,8405,35801
837482249356513284,471,4016
837471256429613056,2455,13387
837366284874571778,5672,22131
837110210464448512,2560,16776
836989968035819520,2466,13329
836753516572119041,4942,20148
836677758902222849,2381,13214
836648853927522308,585,0
836397794269200385,29632,0
836380477523124226,3175,15436
836260088725786625,4599,22283
836001077879255040,4602,20023
835685285446955009,8735,0
835574547218894849,3883,18660
835536468978302976,1824,0
835309094223372289,22562,0
835297930240217089,3222,17224
835264098648616962,1824,8112
835246439529840640,78,2193
835172783151792128,6159,27416
835152434251116546,3241,23573
834931633769889797,1769,11371
834786237630337024,5893,22236
834574053763584002,2721,14360
834477809192075265,11456,0
834458053273591808,1803,10087
834209720923721728,5138,21641
834167344700198914,3906,16547
834089966724603904,2284,10550
834086379323871233,2385,13716
833863086058651648,2586,14083
833826103416520705,4013,18891
833732339549220864,232,0
833722901757046785,3452,21756
833479644947025920,2225,15605
833124694597443584,5208,21218
832998151111966721,2383,13967
832769181346996225,40,0
832757312314028032,3895,17683
832682457690300417,3162,12482
832645525019123713,559,3069
832636094638288896,3007,16656
832397543355072512,2394,12542
832369877331693569,3434,18047
832273440279240704,2513,11887
832215909146226688,6665,0
832215726631055365,10110,0
832088576586297345,2,70
832040443403784192,10465,0
832032802820481025,4993,18742
831939777352105988,6608,25235
831926988323639298,35,360
831911600680497154,7031,29110
831670449226514432,1950,10992
831650051525054464,2088,7559
831552930092285952,2472,9465
831322785565769729,1646,9691
831315979191906304,1204,6872
831309418084069378,2632,12345
831262627380748289,2212,12542
830956169170665475,1613,8383
830583320585068544,18147,70453
830173239259324417,6154,0
830097400375152640,3242,10352
829878982036299777,5421,0
829861396166877184,2112,12881
829501995190984704,11456,33451
829449946868879360,2196,11030
829374341691346946,10062,36477
829141528400556032,8004,25827
829011960981237760,17537,55871
828801551087042563,3672,0
828770345708580865,6337,26967
828708714936930305,12132,38605
828650029636317184,1457,10016
828409743546925057,1245,6635
828408677031882754,1389,8073
828381636999917570,2409,13316
828376505180889089,1149,7789
828372645993398273,3188,13231
828361771580813312,184,2317
828046555563323392,3097,12404
828011680017821696,2324,10929
827933404142436356,5651,21255
827653905312006145,3249,16253
827600520311402496,1026,7816
827324948884643840,3319,16747
827199976799354881,2427,11158
826958653328592898,5421,22788
826848821049180160,11061,38513
826615380357632002,4279,0
826598799820865537,275,5401
826598365270007810,2547,10646
826476773533745153,4541,19465
826240494070030336,2808,14041
826204788643753985,1009,5167
826115272272650244,3403,16549
825876512159186944,2027,11069
825829644528148480,2696,13467
825535076884762624,18640,55085
825147591692263424,4962,19369
825120256414846976,1388,0
825026590719483904,1388,6716
824796380199809024,5958,0
824775126675836928,3818,15841
824663926340194305,1885,10666
824325613288833024,11269,12469
824297048279236611,4200,15937
824025158776213504,641,5046
