tweet_id,retweet_count,favorite_count
863432100342583297,5223,23613
863427515083354112,96,2233
863079547188785154,1100,8705
863062471531167744,2436,8448
862831371563274240,5101,19026
862722525377298433,3523,16942
862457590147678208,4956,20367
862096992088072192,23263,73986
861383897657036800,10712,35910
861288531465048066,4164,17092
861005113778896900,3804,16618
860981674716409858,2167,0
860924035999428608,818,0
860563773140209665,2167,7476
860524505164394496,5302,23525
860276583193509888,3491,18251
860184849394610176,5882,16632
860177593139703809,31031,0
859924526012018688,4102,19497
859851578198683649,3531,15376
859607811541651456,1581,18557
859196978902773760,30401,89773
859074603037188101,13719,33819
858860390427611136,8207,0
858843525470990336,3513,15543
858471635011153920,4879,21511
858107933456039936,2924,15727
857989990357356544,2610,16147
857746408056729600,10759,34294
857393404942143489,1661,5910
857263160327368704,4567,20061
857214891891077121,18,228
857062103051644929,173,0
857029823797047296,4061,18974
856543823941562368,2927,16320
856526610513747968,1914,11882
856330835276025856,688,0
856288084350160898,17,522
856282028240666624,6433,27851
855862651834028034,26,347
855860136149123072,1044,5046
855857698524602368,2150,11927
855851453814013952,18078,45786
855818117272018944,5545,26782
855459453768019968,8375,30117
855245323840757760,6103,0
855138241867124737,46,0
854732716440526848,6243,23037
854482394044301312,7033,29584
854365224396361728,4798,19082
854120357044912130,7668,32323
854010172552949760,3227,16376
853760880890318849,5934,28934
853639147608842240,10414,35253
853299958564483072,3665,15733
852936405516943360,2068,0
852912242202992640,1889,9191
852672615818899456,2222,15156
852553447878664193,3619,16591
852311364735569921,10197,33655
852226086759018497,7005,20337
852189679701164033,1634,11647
851953902622658560,9949,0
851861385021730816,23,0
851591660324737024,3581,16517
851464819735769094,7324,24714
851224888060895234,5926,21073
850753642995093505,9600,31562
850380195714523136,2714,13336
850333567704068097,347,3513
850145622816686080,3960,16666
850019790995546112,5074,20881
849776966551130114,7889,31139
849668094696017920,5137,0
849412302885593088,3262,16239
849336543269576704,1961,11677
849051919805034497,8843,43414
848690551926992896,4489,25808
848324959059550208,4778,25357
848213670039564288,776,8375
848212111729840128,3192,16725
847978865427394560,3394,0
847971574464610304,443,0
847962785489326080,5306,24099
847842811428974592,1389,5601
847617282490613760,441,7178
847606175596138505,3547,19269
847251039262605312,4473,21003
847157206088847362,6104,20462
847116187444137987,3331,21986
846874817362120707,4096,20614
846514051647705089,12113,45854
846505985330044928,3212,14496
846153765933735936,9488,32579
846139713627017216,10357,31781
846042936437604353,3026,16450
845812042753855489,9132,30118
845677943972139009,5001,25879
845397057150107648,1890,7864
845306882940190720,5649,24020
845098359547420673,8016,0
844979544864018432,2700,14017
844973813909606400,3369,15560
844580511645339650,3288,17005
844223788422217728,2308,14046
843981021012017153,3073,15617
843856843873095681,4860,22112
843604394117681152,2892,17421
843235543001513987,6353,22222
842846295480000512,3791,15709
842765311967449089,1341,6969
842535590457499648,3691,18677
842163532590374912,6103,25266
842115215311396866,3194,14467
841833993020538882,16112,0
841680585030541313,8162,26511
841439858740625411,3879,13058
841320156043304961,5737,20451
841314665196081154,4937,16376
841077006473256960,5587,23665
840761248237133825,1848,0
840728873075638272,17012,0
840698636975636481,2,181
840696689258311684,1036,12713
840632337062862849,1848,9283
840370681858686976,4800,17038
840268004936019968,6045,19942
839990271299457024,2419,13892
839549326359670784,8207,28496
839290600511926273,149,0
839239871831150596,6902,28177
838952994649550848,4202,20326
838921590096166913,2186,11587
838916489579200512,36,0
838831947270979586,11677,0
838561493054533637,1397,11324
838476387338051585,5078,23387
838201503651401729,10662,0
838150277551247360,353,1745
838085839343206401,1,147
838083903487373313,3339,18274
837820167694528512,8305,35468
837482249356513284,466,3984
837471256429613056,2415,13264
837366284874571778,5616,21965
837110210464448512,2528,16637
836989968035819520,2431,13196
836753516572119041,4886,20005
836677758902222849,2353,13107
836648853927522308,577,0
836397794269200385,29337,0
836380477523124226,3147,15325
836260088725786625,4539,22102
836001077879255040,4543,19846
835685285446955009,8644,0
835574547218894849,3838,18512
835536468978302976,1806,0
835309094223372289,22294,0
835297930240217089,3183,17084
835264098648616962,1806,8033
835246439529840640,77,2178
835172783151792128,6091,27184
835152434251116546,3202,23359
834931633769889797,1751,11250
834786237630337024,5839,22056
834574053763584002,2686,14230
834477809192075265,11340,0
834458053273591808,1783,10006
834209720923721728,5082,21444
834167344700198914,3868,16408
834089966724603904,2258,10462
834086379323871233,2358,13605
833863086058651648,2548,13963
